,DEC-ALL,DUM-CIV3,GENDER,AGE
0,1,0,1,48
1,1,0,2,64
2,1,0,2,24
3,0,0,1,33
4,0,0,4,40
5,1,0,2,63
6,1,0,2,66
7,1,0,2,61
8,1,0,1,57
9,0,0,2,39
10,1,0,1,44
11,0,0,2,32
12,1,0,1,24
13,1,0,1,39
14,1,0,1,38
15,0,0,2,31
16,1,0,2,42
17,1,0,1,48
18,1,0,2,34
19,1,0,1,61
20,0,0,1,32
21,1,0,2,30
22,1,0,2,34
23,1,0,1,55
24,1,0,2,49
25,1,0,1,51
26,1,0,1,37
27,1,0,2,46
28,1,0,2,58
29,1,0,1,40
30,1,0,1,32
31,1,0,2,62
32,1,0,1,40
33,1,0,1,40
34,1,0,1,46
35,1,0,2,64
36,1,0,2,61
37,0,0,2,54
38,1,0,1,53
39,0,0,1,36
40,1,0,2,39
41,1,0,2,61
42,1,0,2,65
43,1,0,4,34
44,0,0,1,70
45,1,0,2,63
46,1,0,2,37
47,1,0,1,46
48,0,0,2,46
49,1,0,1,73
50,1,0,1,45
51,1,0,1,34
52,1,0,2,41
53,1,0,1,74
54,1,0,2,48
55,1,0,1,41
56,1,0,2,57
57,0,0,2,32
58,1,0,1,41
59,0,0,1,31
60,1,0,2,55
61,1,0,2,73
62,1,0,2,29
63,0,0,2,40
64,1,0,2,48
65,0,0,2,71
66,1,0,2,55
67,0,0,2,29
68,1,0,2,38
69,1,1,1,43
70,1,1,2,36
71,1,1,1,43
72,0,1,1,44
73,0,1,1,74
74,1,1,2,54
75,1,1,2,47
76,1,1,2,49
77,1,1,2,34
78,1,1,1,63
79,1,1,2,36
80,0,1,1,51
81,0,1,2,62
82,1,1,2,41
83,0,1,2,47
84,1,1,1,70
85,1,1,1,32
86,1,1,2,43
87,1,1,2,30
88,1,1,1,43
89,0,1,2,34
90,1,1,2,69
91,0,1,2,37
92,0,1,2,42
93,1,1,1,54
94,1,1,1,25
95,1,1,1,47
96,1,1,2,28
97,0,1,1,55
98,1,1,1,54
99,1,1,1,58
100,0,1,1,38
101,0,1,2,47
102,0,1,2,24
103,0,1,1,33
104,0,1,1,44
105,1,1,2,37
106,1,1,2,54
107,1,1,1,41
108,0,1,2,40
109,0,1,2,60
110,1,1,2,37
111,1,1,2,38
112,1,1,2,33
113,0,1,2,66
114,0,1,2,39
115,1,1,1,35
116,1,1,1,43
117,1,1,2,42
118,1,1,2,37
119,1,1,2,71
120,1,1,2,32
121,1,1,2,48
122,1,1,1,42
123,0,0,2,66
124,0,0,2,74
125,0,0,1,35
126,1,0,1,42
127,1,0,1,35
128,0,0,2,31
129,1,0,2,25
130,1,0,1,34
131,0,0,1,29
132,1,0,1,48
133,0,0,1,58
134,1,0,2,43
135,1,0,2,23
136,1,0,1,57
137,1,0,2,56
138,1,0,1,39
139,1,0,2,34
140,0,0,2,71
141,0,0,2,39
142,1,0,2,49
143,0,0,2,35
144,0,0,2,34
145,1,0,1,74
146,0,0,2,33
147,1,0,2,57
148,1,0,1,29
149,1,0,1,30
150,1,0,2,53
151,1,0,2,57
152,1,0,1,45
153,0,0,1,37
154,1,0,2,65
155,1,0,1,55
156,0,0,1,50
157,0,0,2,73
158,0,0,1,35
159,0,0,2,32
160,1,0,2,52
161,0,0,1,48
162,1,0,2,31
163,0,0,1,48
164,1,0,2,29
165,1,0,2,46
166,0,0,2,37
167,1,0,1,37
168,0,0,1,49
169,1,0,2,44
170,0,0,2,46
171,1,0,2,50
172,1,0,2,44
173,1,0,2,34
174,1,0,1,33
175,1,0,1,33
176,0,0,1,28
177,0,0,2,46
178,1,0,2,61
179,0,0,1,30
180,1,0,1,33
181,0,0,1,48
